tagger,corpus,tagset,config options,metric,min,max,mean,std
skMultinomialNB,oana-cs.xml,mte,"[-1, 0, 1]",recall,0.291784037559,0.319419699669,0.307407675369,0.00707928833794
skMultinomialNB,oana-cs.xml,mte,"[-1, 0, 1]",training_time,9.55068469048,13.9581685066,11.6163824797,1.38725328047
skMultinomialNB,oana-cs.xml,mte,"[-1, 0]",accuracy,0.508588134974,0.52912811156,0.5201655888,0.00562696359598
skMultinomialNB,oana-cs.xml,mte,"[-1, 0]",f1,0.285284242214,0.305805805806,0.297635598983,0.00618899811931
skMultinomialNB,oana-cs.xml,mte,"[-1, 0]",oov,-1,-1,-1.0,0.0
skMultinomialNB,oana-cs.xml,mte,"[-1, 0]",precision,0.281471327393,0.300762983017,0.293503874275,0.00602996265293
skMultinomialNB,oana-cs.xml,mte,"[-1, 0]",prediction_time,0.525680780411,0.98926782608,0.818398785591,0.136936135139
skMultinomialNB,oana-cs.xml,mte,"[-1, 0]",recall,0.289201877934,0.311020615933,0.30188689526,0.00639273810478
skMultinomialNB,oana-cs.xml,mte,"[-1, 0]",training_time,6.17243027687,9.55778622627,8.46382493973,0.939678181654
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",accuracy,0.466439273968,0.488466049785,0.477504203237,0.00617852018228
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",f1,0.260006765137,0.28052201488,0.26858904257,0.00673214999904
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",oov,-1,-1,-1.0,0.0
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",precision,0.250162725103,0.269320843091,0.258079999328,0.00642320881287
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",prediction_time,1.03269577026,1.83340191841,1.41431422234,0.266442774511
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",recall,0.270657276995,0.292695342326,0.279993796337,0.00714325420514
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",training_time,15.5702087879,21.1900341511,17.6560313702,1.56861636257
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0]",accuracy,0.494256999282,0.510751987489,0.5011792126,0.00538091382079
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0]",f1,0.276121959575,0.294124922696,0.28527256887,0.00477089023269
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0]",oov,-1,-1,-1.0,0.0
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0]",precision,0.268845897265,0.286092396535,0.277918910718,0.00449624634852
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0]",prediction_time,0.649269580841,1.4022758007,1.03886463642,0.217431041115
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0]",recall,0.283802816901,0.302621532196,0.293027835673,0.00511918062654
skMultinomialNB,oana-cs.xml,mte,"[-2, -1, 0]",training_time,9.60245323181,12.5503258705,11.2387896538,0.833070082069
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",accuracy,0.435132172006,0.449889221947,0.443089765136,0.00468421089454
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",f1,0.235517781257,0.248948696384,0.243126797523,0.0046713665984
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",oov,-1,-1,-1.0,0.0
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",precision,0.22625698324,0.238764692325,0.233422376956,0.00441313706591
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",prediction_time,1.21867799759,2.85742425919,2.01143734455,0.568573782669
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",recall,0.245569029851,0.260040160643,0.25367485035,0.00500260864064
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",training_time,18.9037392139,24.1514241695,22.3499568701,1.74875783737
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0]",accuracy,0.473017419905,0.488205395543,0.479835942707,0.00486216538615
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0]",f1,0.261363636364,0.278904042266,0.269806025055,0.00499587839596
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0]",oov,-1,-1,-1.0,0.0
skMultinomialNB,oana-cs.xml,mte,"[-3, -2, -1, 0]",precision,0.253303964758,0.269596199525,0.261560004997,0.0047005650215
